Hashtag,Cleaned Tweet Count,Scraped Date,Scraped Time,Hour Offset,Rank,Source
Lando,61800.0,2025-08-03,21:00,0,1,World
Ferrari,104600.0,2025-08-03,21:00,0,2,World
#HungarianGP,157300.0,2025-08-03,21:00,0,3,World
#سيوله_عبر_تابي_O55З1𐌚𐌚064,10000.0,2025-08-03,21:00,0,4,World
#فاتوره_معسر_٢مليون_نقفلها,10000.0,2025-08-03,21:00,0,5,World
Leclerc,183800.0,2025-08-03,21:00,0,6,World
Piastri,34900.0,2025-08-03,21:00,0,7,World
#MyMagicProphecyEP2,169100.0,2025-08-03,21:00,0,8,World
McLaren,63500.0,2025-08-03,21:00,0,9,World
Alpine,18000.0,2025-08-03,21:00,0,10,World
#アイマス765単独NEI_day2,104000.0,2025-08-03,21:00,0,11,World
オルガマリー,131300.0,2025-08-03,21:00,0,12,World
Óscar,75600.0,2025-08-03,21:00,0,13,World
Charles,227900.0,2025-08-03,21:00,0,14,World
BRASIL NA RUA,91700.0,2025-08-03,21:00,0,15,World
Russell,36100.0,2025-08-03,21:00,0,16,World
Colapinto,22200.0,2025-08-03,21:00,0,17,World
Harry Brook,10000.0,2025-08-03,21:00,0,18,World
すわほー,10000.0,2025-08-03,21:00,0,19,World
DANCERACHA KARMA TEASER,10000.0,2025-08-03,21:00,0,20,World
ダンスラチャ,10000.0,2025-08-03,21:00,0,21,World
Franco,53200.0,2025-08-03,21:00,0,22,World
Verstappen,24000.0,2025-08-03,21:00,0,23,World
ピアストリ,10000.0,2025-08-03,21:00,0,24,World
Bortoleto,28100.0,2025-08-03,21:00,0,25,World
Zeta,22000.0,2025-08-03,21:00,0,26,World
石1000個,63800.0,2025-08-03,21:00,0,27,World
ルクレール,10000.0,2025-08-03,21:00,0,28,World
姫様ティアラ,10000.0,2025-08-03,21:00,0,29,World
Maddison,10000.0,2025-08-03,21:00,0,30,World
Alonso,42200.0,2025-08-03,21:00,0,31,World
LULA É O POVO,15900.0,2025-08-03,21:00,0,32,World
ディスティニー,10000.0,2025-08-03,21:00,0,33,World
Gasly,10000.0,2025-08-03,21:00,0,34,World
AlparslanHocaya Alçakİftira,10000.0,2025-08-03,21:00,0,35,World
マクラーレン,10000.0,2025-08-03,21:00,0,36,World
Jago Hindu,20100.0,2025-08-03,21:00,0,37,World
Sauber,10000.0,2025-08-03,21:00,0,38,World
Maulana Chhangur Case,20300.0,2025-08-03,21:00,0,39,World
JOSSGAWIN 3RD FANSIGN,50500.0,2025-08-03,21:00,0,40,World
Hamilton,62400.0,2025-08-03,21:00,0,41,World
Harambee Stars,27500.0,2025-08-03,21:00,0,42,World
ARMY RISE FOR BTS,14700.0,2025-08-03,21:00,0,43,World
最高のライブ,29000.0,2025-08-03,21:00,0,44,World
Peringati Dengan Hikmat,10000.0,2025-08-03,21:00,0,45,World
Love Jihad,30100.0,2025-08-03,21:00,0,46,World
relations,23700.0,2025-08-03,21:00,0,47,World
スペック120,10000.0,2025-08-03,21:00,0,48,World
マンジャロ,10000.0,2025-08-03,21:00,0,49,World
カーテンコール,10000.0,2025-08-03,21:00,0,50,World
#アイマス765単独NEI_day2,89100.0,2025-08-03,20:00,1,1,World
#GOスト,101800.0,2025-08-03,20:00,1,2,World
オルガマリー,123900.0,2025-08-03,20:00,1,3,World
すわほー,10000.0,2025-08-03,20:00,1,4,World
#MyMagicProphecyEP2,100700.0,2025-08-03,20:00,1,5,World
Alpine,10000.0,2025-08-03,20:00,1,6,World
#اعلن_معنا_Ȣترند1_05б32б8б79,10000.0,2025-08-03,20:00,1,7,World
#มหกรรมนิยายนานาชาติ2025xJG,101300.0,2025-08-03,20:00,1,8,World
Zeta,21700.0,2025-08-03,20:00,1,9,World
Norris,23200.0,2025-08-03,20:00,1,10,World
石1000個,60900.0,2025-08-03,20:00,1,11,World
BRASIL NA RUA,40100.0,2025-08-03,20:00,1,12,World
Maddison,10000.0,2025-08-03,20:00,1,13,World
デスティニー,16600.0,2025-08-03,20:00,1,14,World
AlparslanHocaya Alçakİftira,10000.0,2025-08-03,20:00,1,15,World
Colapinto,19800.0,2025-08-03,20:00,1,16,World
姫様ティアラ,10000.0,2025-08-03,20:00,1,17,World
Verstappen,18700.0,2025-08-03,20:00,1,18,World
奥川くん,10000.0,2025-08-03,20:00,1,19,World
マンジャロ,10000.0,2025-08-03,20:00,1,20,World
スペック120,10000.0,2025-08-03,20:00,1,21,World
ビーズリー,10000.0,2025-08-03,20:00,1,22,World
JOSSGAWIN 3RD FANSIGN,22800.0,2025-08-03,20:00,1,23,World
Alonso,41000.0,2025-08-03,20:00,1,24,World
世界大会,15100.0,2025-08-03,20:00,1,25,World
Sauber,10000.0,2025-08-03,20:00,1,26,World
$Wally,10000.0,2025-08-03,20:00,1,27,World
徳重先生,10000.0,2025-08-03,20:00,1,28,World
ARMY RISE FOR BTS,11500.0,2025-08-03,20:00,1,29,World
こいほー,10000.0,2025-08-03,20:00,1,30,World
カーテンコール,10000.0,2025-08-03,20:00,1,31,World
AZRALPH HARD LAUNCH,18100.0,2025-08-03,20:00,1,32,World
まりほー,10000.0,2025-08-03,20:00,1,33,World
聡ちゃん,10000.0,2025-08-03,20:00,1,34,World
무에타이,10000.0,2025-08-03,20:00,1,35,World
おつふぁみ,10000.0,2025-08-03,20:00,1,36,World
